filename,width,height,class,xmin,ymin,xmax,ymax
4_11_58.jpg,300,300,hand,78,101,162,185
3_5_64.jpg,300,300,hand,63,29,193,159
6_8_526.jpg,300,300,hand,101,75,157,131
7_5_237.jpg,300,300,hand,69,70,169,170
3_4_30.jpg,300,300,hand,78,93,158,173
1_14_79.jpg,300,300,hand,162,188,212,238
1_12_43.jpg,300,300,hand,138,113,204,179
7_3_102.jpg,300,300,hand,26,34,162,170
6_3_206.jpg,300,300,hand,92,42,232,182
5_8_265.jpg,300,300,hand,31,119,101,189
6_5_335.jpg,300,300,hand,101,73,221,193
6_5_656.jpg,300,300,hand,61,36,189,164
7_3_85.jpg,300,300,hand,132,50,262,180
6_6_230.jpg,300,300,hand,108,38,194,124
3_11_28.jpg,300,300,hand,154,125,232,203
7_6_31.jpg,300,300,hand,45,52,141,148
4_11_126.jpg,300,300,hand,28,94,108,174
5_2_215.jpg,300,300,hand,39,77,151,189
5_4_2.jpg,300,300,hand,60,98,126,164
7_1_526.jpg,300,300,hand,70,91,166,187
2_11_149.jpg,300,300,hand,4,76,84,156
5_4_83.jpg,300,300,hand,86,102,148,164
07_6_89.jpg,300,300,hand,88,42,220,174
3_3_58.jpg,300,300,hand,64,86,176,198
3_3_105.jpg,300,300,hand,85,106,173,194
6_1_10.jpg,300,300,hand,110,53,210,153
6_4_569.jpg,300,300,hand,64,86,120,142
6_8_276.jpg,300,300,hand,59,5,171,117
1_4_160.jpg,300,300,hand,108,62,232,186
6_5_382.jpg,300,300,hand,42,44,154,156
7_5_124.jpg,300,300,hand,2,85,114,197
6_3_539.jpg,300,300,hand,114,52,216,154
6_6_442.jpg,300,300,hand,130,90,196,156
1_10_28.jpg,300,300,hand,116,171,178,233
6_2_408.jpg,300,300,hand,130,131,186,187
6_3_89.jpg,300,300,hand,96,76,212,192
7_4_563.jpg,300,300,hand,31,67,95,131
6_8_342.jpg,300,300,hand,109,41,195,127
5_4_79.jpg,300,300,hand,84,99,150,165
6_8_457.jpg,300,300,hand,118,29,208,119
5_5_53.jpg,300,300,hand,65,64,161,160
2_10_74.jpg,300,300,hand,0,104,70,190
1_5_11.jpg,300,300,hand,98,74,240,216
7_5_59.jpg,300,300,hand,66,87,182,203
4_10_52.jpg,300,300,hand,54,101,140,187
2_12_34.jpg,300,300,hand,127,65,181,119
5_10_106.jpg,300,300,hand,0,93,73,195
3_4_25.jpg,300,300,hand,75,94,155,174
6_8_812.jpg,300,300,hand,109,58,187,136
3_12_113.jpg,300,300,hand,109,47,163,101
2_12_162.jpg,300,300,hand,48,130,98,180
1_8_157.jpg,300,300,hand,110,122,194,206
5_12_23.jpg,300,300,hand,65,98,115,148
1_4_137.jpg,300,300,hand,160,74,236,150
6_4_634.jpg,300,300,hand,104,65,174,135
7_3_552.jpg,300,300,hand,42,9,174,141
6_8_603.jpg,300,300,hand,88,16,200,128
2_11_55.jpg,300,300,hand,0,114,65,194
1_5_182.jpg,300,300,hand,121,75,249,203
6_4_700.jpg,300,300,hand,126,58,202,134
2_13_81.jpg,300,300,hand,103,134,169,200
6_6_283.jpg,300,300,hand,105,83,171,149
7_4_422.jpg,300,300,hand,119,168,175,224
7_5_634.jpg,300,300,hand,26,59,142,175
7_1_426.jpg,300,300,hand,59,55,199,195
7_6_194.jpg,300,300,hand,71,67,181,177
07_6_162.jpg,300,300,hand,17,44,143,170
3_3_74.jpg,300,300,hand,76,81,192,197
7_1_298.jpg,300,300,hand,82,77,182,177
7_1_255.jpg,300,300,hand,59,77,161,179
